ticker,company_name,cik,filed_at,sic
SODI,SOLITRON DEVICES INC,0000091668,2015-01-09,3674
CVGW,CALAVO GROWERS INC,0001133470,2015-01-15,0700
DWAY,"Driveitaway Holdings, Inc.",0001394638,2015-01-21,8200
OPRX,OptimizeRx Corp,0001448431,2015-02-06,7389
SUIC,SUIC Worldwide Holdings Ltd.,0001394108,2015-02-09,2860
ALTS,ALT5 Sigma Corp,0000862861,2015-02-12,6221
NNVC,"NANOVIRICIDES, INC.",0001379006,2015-02-18,2834
SRAX,"SRAX, Inc.",0001538217,2015-02-20,7311
TVTX,"Travere Therapeutics, Inc.",0001438533,2015-02-20,2834
DCH,Dauch Corp,0001062231,2015-02-23,3714
BWMG,"Brownie's Marine Group, Inc",0001166708,2015-02-25,3949
BOOM,DMC Global Inc.,0000034067,2015-03-06,3390
ARMP,"Armata Pharmaceuticals, Inc.",0000921114,2015-03-09,2836
DCO,DUCOMMUN INC /DE/,0000030305,2015-03-16,3728
ETST,"Earth Science Tech, Inc.",0001538495,2015-03-17,2834
DWAY,"Driveitaway Holdings, Inc.",0001394638,2015-03-19,8200
DWAY,"Driveitaway Holdings, Inc.",0001394638,2015-03-23,8200
NXPL,NextPlat Corp,0001058307,2015-03-26,4813
BCIC,BCP Investment Corp,0001372807,2015-03-27,
CCLD,"CareCloud, Inc.",0001582982,2015-03-27,7372
EHSI,Elite Health Systems Inc.,0001089815,2015-03-31,8093
NEPH,NEPHROS INC,0001196298,2015-03-31,3841
SPIEF,"SPI Energy Co., Ltd.",0001210618,2015-03-31,3674
TBBK,"Bancorp, Inc.",0001295401,2015-04-01,6021
AEYE,AUDIOEYE INC,0001362190,2015-04-01,7372
CAMG,"CAM GROUP, INC.",0001419559,2015-04-15,7310
FLES,"Auto Parts 4Less Group, Inc.",0001438901,2015-04-22,7389
GNK,GENCO SHIPPING & TRADING LTD,0001326200,2015-04-30,4412
WW,"WW INTERNATIONAL, INC.",0000105319,2015-05-05,7200
JKHY,JACK HENRY & ASSOCIATES INC,0000779152,2015-05-07,7373
TGLS,Tecnoglass Inc.,0001534675,2015-05-11,3211
ANET,"Arista Networks, Inc.",0001596532,2015-05-14,3576
ALTS,ALT5 Sigma Corp,0000862861,2015-05-18,6221
CLRB,"Cellectar Biosciences, Inc.",0001279704,2015-05-18,2834
FLNT,"Fluent, Inc.",0001460329,2015-05-27,7310
PGTK,Pacific Green Technologies Inc.,0001553404,2015-07-14,4955
UUU,"UNIVERSAL SAFETY PRODUCTS, INC.",0000102109,2015-07-14,5065
EZPW,EZCORP INC,0000876523,2015-07-17,5900
