epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7429949539048332,0.5149999999999999,0.37311716061716066,0.5,0.3333333333333333,1.0,0.3333333333333333,10,20,0,0,30,10,30.026798248291016
2,0.738272990499224,0.4425,0.36480186480186483,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,29.994098901748657
3,0.7016504108905792,0.38,0.37690642690642695,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,30.007490634918213
4,0.6948784828186035,0.5349999999999999,0.39666666666666667,0.34782608695652173,0.3076923076923077,0.4,0.5,4,9,11,6,30,10,29.8394718170166
5,0.7053133709090097,0.2475,0.2617160999919621,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,29.914019346237183
6,0.6437820894377572,0.58,0.4151120718362098,0.0,0.0,0.0,0.5666666666666667,0,3,17,10,30,10,29.80161714553833
7,0.5951636399541582,0.51,0.39989516280820625,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,29.922749042510986
8,0.41719077484948297,0.47,0.3620271623801036,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,29.914470672607422
9,0.3136675734605108,0.6075,0.468765789481902,0.5,0.42857142857142855,0.6,0.6,6,8,12,4,30,10,29.82343626022339
10,0.2203035332262516,0.5,0.4244372294372294,0.15384615384615385,0.3333333333333333,0.1,0.6333333333333333,1,2,18,9,30,10,29.874698400497437
