epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7023616315740527,0.44722222222222224,0.3539018389018389,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,27.237012147903442
2,0.7005372228044452,0.4583333333333333,0.4365784215784215,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,27.114375114440918
3,0.688738409316901,0.5388888888888889,0.49650673400673395,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,26.90275502204895
4,0.7036747426697703,0.41666666666666663,0.3526198509093246,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,26.971088647842407
5,0.6633276894237056,0.7527777777777778,0.6054636591478696,0.64,0.5333333333333333,0.8,0.6785714285714286,8,7,11,2,28,10,27.07846760749817
6,0.5961490806305048,0.5555555555555556,0.4657405403633025,0.5925925925925926,0.47058823529411764,0.8,0.6071428571428571,8,9,9,2,28,10,26.938518047332764
7,0.5460507797472405,0.7722222222222221,0.712046292201091,0.625,0.45454545454545453,1.0,0.5714285714285714,10,12,6,0,28,10,26.943529844284058
8,0.4296046784429839,0.7,0.5440569561157796,0.43478260869565216,0.38461538461538464,0.5,0.5357142857142857,5,8,10,5,28,10,26.905470371246338
9,0.4440813945098357,0.6944444444444444,0.5418924539512775,0.56,0.4666666666666667,0.7,0.6071428571428571,7,8,10,3,28,10,26.97972083091736
10,0.38842142711986194,0.7,0.5456442577030812,0.43478260869565216,0.38461538461538464,0.5,0.5357142857142857,5,8,10,5,28,10,26.94651460647583
