epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7317548569510964,0.32777777777777783,0.2962542555483732,0.0,0.0,0.0,0.5,0,4,14,10,28,10,4.046902418136597
2,0.6784863436923307,0.4166666666666667,0.38713330148112757,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,3.7204604148864746
3,0.6414770519032198,0.41111111111111115,0.3634593837535014,0.3333333333333333,0.2857142857142857,0.4,0.42857142857142855,4,10,8,6,28,10,3.6854233741760254
4,0.5571881707976846,0.3444444444444445,0.38926984126984127,0.2727272727272727,0.25,0.3,0.42857142857142855,3,9,9,7,28,10,3.6949357986450195
5,0.41642598895465627,0.4222222222222222,0.3893644688644689,0.2222222222222222,0.25,0.2,0.5,2,6,12,8,28,10,3.698387384414673
6,0.29949019498684826,0.38888888888888884,0.34112554112554105,0.36363636363636365,0.3333333333333333,0.4,0.5,4,8,10,6,28,10,3.7016866207122803
7,0.21971863858840046,0.4388888888888889,0.37483766233766225,0.14285714285714285,0.25,0.1,0.5714285714285714,1,3,15,9,28,10,3.656172275543213
8,0.1743643862359664,0.3944444444444445,0.3461490683229813,0.14285714285714285,0.25,0.1,0.5714285714285714,1,3,15,9,28,10,3.6933231353759766
9,0.13603071605457978,0.4444444444444445,0.3791233766233766,0.15384615384615385,0.3333333333333333,0.1,0.6071428571428571,1,2,16,9,28,10,3.676823377609253
10,0.11796928898376577,0.45000000000000007,0.3891233766233766,0.2857142857142857,0.5,0.2,0.6428571428571429,2,2,16,8,28,10,3.6980464458465576
