epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7016833970944086,0.255,0.2542519376758507,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,4.371840238571167
2,0.6528467138608297,0.38,0.29664125056230317,0.125,0.16666666666666666,0.1,0.5333333333333333,1,5,15,9,30,10,3.907377243041992
3,0.5223853786786398,0.48,0.38481684981684977,0.3157894736842105,0.3333333333333333,0.3,0.5666666666666667,3,6,14,7,30,10,3.8064937591552734
4,0.40820857054657406,0.475,0.3769197334106056,0.4166666666666667,0.35714285714285715,0.5,0.5333333333333333,5,9,11,5,30,10,3.766648769378662
5,0.25245979097154403,0.48250000000000004,0.33389505231610495,0.0,0.0,0.0,0.5666666666666667,0,3,17,10,30,10,3.8384737968444824
6,0.2045883842640453,0.525,0.41268911739163455,0.375,0.5,0.3,0.6666666666666666,3,3,17,7,30,10,3.8039534091949463
7,0.19600113481283188,0.525,0.4322866344605475,0.15384615384615385,0.3333333333333333,0.1,0.6333333333333333,1,2,18,9,30,10,3.828125
8,0.08301266344885032,0.6075,0.42313131313131314,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,3.796236515045166
9,0.10530083895557457,0.55,0.46801346801346794,0.16666666666666666,0.5,0.1,0.6666666666666666,1,1,19,9,30,10,3.8453261852264404
10,0.051643402212195925,0.54,0.43801346801346797,0.16666666666666666,0.5,0.1,0.6666666666666666,1,1,19,9,30,10,4.016568660736084
