epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6991641720136007,0.5,0.4784681984681985,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,3.695749044418335
2,0.6884750127792358,0.445,0.32951116516333906,0.5142857142857142,0.36,0.9,0.43333333333333335,9,16,4,1,30,10,3.358480453491211
3,0.6855506830745273,0.51,0.3787554463080779,0.48484848484848486,0.34782608695652173,0.8,0.43333333333333335,8,15,5,2,30,10,3.3472278118133545
4,0.6655918492211236,0.5325,0.4252102006272406,0.5454545454545454,0.391304347826087,0.9,0.5,9,14,6,1,30,10,3.360067129135132
5,0.6253622571627299,0.5325,0.3773703974343361,0.5714285714285714,0.4444444444444444,0.8,0.6,8,10,10,2,30,10,3.3441543579101562
6,0.5698328283098009,0.555,0.3867605161722809,0.5517241379310345,0.42105263157894735,0.8,0.5666666666666667,8,11,9,2,30,10,3.359858989715576
7,0.4971483714050717,0.56,0.3804878618113912,0.2857142857142857,0.2727272727272727,0.3,0.5,3,8,12,7,30,10,3.3749709129333496
8,0.4184148874547746,0.5800000000000001,0.39169234360410826,0.5185185185185185,0.4117647058823529,0.7,0.5666666666666667,7,10,10,3,30,10,3.405374765396118
9,0.3715885645813412,0.5800000000000001,0.39214133089133085,0.5384615384615384,0.4375,0.7,0.6,7,9,11,3,30,10,3.379318952560425
10,0.3367382188638051,0.5650000000000001,0.3784508547008547,0.43478260869565216,0.38461538461538464,0.5,0.5666666666666667,5,8,12,5,30,10,3.354673385620117
