epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6912845969200134,0.6083333333333334,0.5215170940170941,0.16666666666666666,0.5,0.1,0.6428571428571429,1,1,17,9,28,10,2.6859443187713623
2,0.6904211375448439,0.6111111111111112,0.5487208216619981,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,2.3620219230651855
3,0.6814479496743944,0.6,0.5385582402297303,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,2.341958522796631
4,0.6518855889638265,0.5722222222222222,0.52183407688018,0.3076923076923077,0.6666666666666666,0.2,0.6785714285714286,2,1,17,8,28,10,2.390292167663574
5,0.6424487895435758,0.6555555555555557,0.5738411639959627,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,2.3439605236053467
6,0.6078731881247627,0.6555555555555556,0.5509748636296624,0.36363636363636365,0.3333333333333333,0.4,0.5,4,8,10,6,28,10,2.3867504596710205
7,0.570435987578498,0.6111111111111112,0.4885772122614228,0.23529411764705882,0.2857142857142857,0.2,0.5357142857142857,2,5,13,8,28,10,2.3645377159118652
8,0.48943907022476196,0.675,0.5336327561327561,0.15384615384615385,0.3333333333333333,0.1,0.6071428571428571,1,2,16,9,28,10,2.3432366847991943
9,0.451639324426651,0.6222222222222222,0.5008384262796027,0.25,0.3333333333333333,0.2,0.5714285714285714,2,4,14,8,28,10,2.3630282878875732
10,0.43153879708713955,0.6388888888888888,0.5152864782276547,0.26666666666666666,0.4,0.2,0.6071428571428571,2,3,15,8,28,10,2.3727145195007324
