epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6964404847886827,0.645,0.4687969437969438,0.5128205128205128,0.3448275862068966,1.0,0.36666666666666664,10,19,1,0,30,10,2.5154166221618652
2,0.6851709882418314,0.5700000000000001,0.4141203498943437,0.14285714285714285,0.25,0.1,0.6,1,3,17,9,30,10,2.2031874656677246
3,0.6677173111173842,0.66,0.47425985778926955,0.47058823529411764,0.5714285714285714,0.4,0.7,4,3,17,6,30,10,2.2211790084838867
4,0.6331646508640714,0.6625,0.44723745490479766,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,2.2176096439361572
5,0.5801692075199552,0.6900000000000001,0.46888888888888886,0.47619047619047616,0.45454545454545453,0.5,0.6333333333333333,5,6,14,5,30,10,2.1876003742218018
6,0.5097192658318414,0.5800000000000001,0.3851857018110888,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,2.1947364807128906
7,0.45433759358194137,0.7300000000000001,0.5104695496074806,0.4444444444444444,0.5,0.4,0.6666666666666666,4,4,16,6,30,10,2.1720080375671387
8,0.39381078879038495,0.68,0.46671263377145733,0.0,0.0,0.0,0.5666666666666667,0,3,17,10,30,10,2.1781489849090576
9,0.35409414437082076,0.6900000000000001,0.47333028083028084,0.0,0.0,0.0,0.5666666666666667,0,3,17,10,30,10,2.191632032394409
10,0.326580544312795,0.7100000000000001,0.4903174603174604,0.0,0.0,0.0,0.5666666666666667,0,3,17,10,30,10,2.1769258975982666
