epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.683693915605545,0.2975,0.28150571407150354,0.0,0.0,0.0,0.6,0,2,18,10,30,10,3.251113176345825
2,0.6973077489270104,0.3,0.2746979739357235,0.375,0.2727272727272727,0.6,0.3333333333333333,6,16,4,4,30,10,2.908511161804199
3,0.6929270012511147,0.29500000000000004,0.27294594964422547,0.18181818181818182,0.16666666666666666,0.2,0.4,2,10,10,8,30,10,2.973951816558838
4,0.6875235752926933,0.26999999999999996,0.26604084321475624,0.09523809523809523,0.09090909090909091,0.1,0.36666666666666664,1,10,10,9,30,10,2.9421682357788086
5,0.6880694727102915,0.2975,0.2747515051997811,0.11764705882352941,0.14285714285714285,0.1,0.5,1,6,14,9,30,10,2.937525510787964
6,0.6793996493021647,0.305,0.2789578544061303,0.23076923076923078,0.1875,0.3,0.3333333333333333,3,13,7,7,30,10,2.983715534210205
7,0.6768370767434438,0.305,0.2789578544061303,0.3448275862068966,0.2631578947368421,0.5,0.36666666666666664,5,14,6,5,30,10,2.9747049808502197
8,0.7134107930792702,0.3,0.27538642583470174,0.23076923076923078,0.1875,0.3,0.3333333333333333,3,13,7,7,30,10,3.0302517414093018
9,0.6745811485581927,0.28500000000000003,0.2776822294462948,0.0,0.0,0.0,0.6,0,2,18,10,30,10,3.0344605445861816
10,0.6866728299193912,0.30999999999999994,0.2854730059212818,0.4,0.28,0.7,0.3,7,18,2,3,30,10,3.0757877826690674
11,0.64372561706437,0.29500000000000004,0.2802774675415329,0.09523809523809523,0.09090909090909091,0.1,0.36666666666666664,1,10,10,9,30,10,2.9264602661132812
12,0.6257590800523758,0.31000000000000005,0.30027746754153284,0.4,0.3,0.6,0.4,6,14,6,4,30,10,2.9640066623687744
13,0.6843418661091063,0.30000000000000004,0.2972005444646098,0.4117647058823529,0.2916666666666667,0.7,0.3333333333333333,7,17,3,3,30,10,2.9779603481292725
14,0.6943380617433124,0.315,0.30234674329501915,0.3448275862068966,0.2631578947368421,0.5,0.36666666666666664,5,14,6,5,30,10,2.970674753189087
15,0.670626257856687,0.3,0.2980123112002896,0.11764705882352941,0.14285714285714285,0.1,0.5,1,6,14,9,30,10,2.971371650695801
16,0.6670753326680925,0.30000000000000004,0.2972005444646098,0.3870967741935484,0.2857142857142857,0.6,0.36666666666666664,6,15,5,4,30,10,2.952958822250366
17,0.6759748458862305,0.30500000000000005,0.29845928572335106,0.19047619047619047,0.18181818181818182,0.2,0.43333333333333335,2,9,11,8,30,10,2.9268524646759033
18,0.6291166709529029,0.30500000000000005,0.2836108008748662,0.4,0.3,0.6,0.4,6,14,6,4,30,10,2.9366767406463623
19,0.6558438142140707,0.30000000000000004,0.275382362646428,0.2222222222222222,0.17647058823529413,0.3,0.3,3,14,6,7,30,10,2.9654629230499268
