epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7029304669962989,0.275,0.2599844121249007,0.16,0.13333333333333333,0.2,0.3,2,13,7,8,30,10,5.7888429164886475
2,0.665558334853914,0.27,0.2591984287642183,0.16,0.13333333333333333,0.2,0.3,2,13,7,8,30,10,5.268952369689941
3,0.5749711179071002,0.325,0.2788434214265416,0.0,0.0,0.0,0.5333333333333333,0,4,16,10,30,10,5.425490617752075
4,0.5185021923647987,0.32999999999999996,0.2762791839223728,0.11764705882352941,0.14285714285714285,0.1,0.5,1,6,14,9,30,10,5.5266335010528564
5,0.33946527623467976,0.365,0.2946596762159086,0.2,0.2,0.2,0.4666666666666667,2,8,12,8,30,10,5.444177865982056
6,0.23369844009478888,0.385,0.33083899005826584,0.19047619047619047,0.18181818181818182,0.2,0.43333333333333335,2,9,11,8,30,10,5.425259590148926
7,0.15326953389578396,0.395,0.39503354978354976,0.23529411764705882,0.2857142857142857,0.2,0.5666666666666667,2,5,15,8,30,10,5.269189834594727
8,0.12697097245189878,0.4099999999999999,0.39007843137254905,0.23529411764705882,0.2857142857142857,0.2,0.5666666666666667,2,5,15,8,30,10,5.1889050006866455
9,0.07324001772536172,0.395,0.3903604752245726,0.23529411764705882,0.2857142857142857,0.2,0.5666666666666667,2,5,15,8,30,10,5.218924283981323
10,0.05341018239657084,0.39,0.3849157434857232,0.23529411764705882,0.2857142857142857,0.2,0.5666666666666667,2,5,15,8,30,10,5.357486963272095
