epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6884670423136817,0.325,0.28805366709017827,0.37037037037037035,0.29411764705882354,0.5,0.43333333333333335,5,12,8,5,30,10,5.046679735183716
2,0.6738249394628737,0.33,0.28423013767841354,0.4,0.3,0.6,0.4,6,14,6,4,30,10,4.716079950332642
3,0.6455026666323344,0.34500000000000003,0.29239926739926736,0.42857142857142855,0.3333333333333333,0.6,0.4666666666666667,6,12,8,4,30,10,4.717508792877197
4,0.6508157286379073,0.35,0.29179080179080175,0.2608695652173913,0.23076923076923078,0.3,0.43333333333333335,3,10,10,7,30,10,4.6939380168914795
5,0.6164961059888204,0.37,0.3003684550743374,0.25,0.21428571428571427,0.3,0.4,3,11,9,7,30,10,4.686290502548218
6,0.6015719208452437,0.395,0.32174100409394524,0.42857142857142855,0.3333333333333333,0.6,0.4666666666666667,6,12,8,4,30,10,4.669178247451782
7,0.560597429672877,0.43,0.33692857142857147,0.4444444444444444,0.35294117647058826,0.6,0.5,6,11,9,4,30,10,4.704370975494385
8,0.525626626279619,0.42000000000000004,0.32996078431372544,0.4166666666666667,0.35714285714285715,0.5,0.5333333333333333,5,9,11,5,30,10,4.699553966522217
9,0.5037898040480084,0.395,0.3381190476190476,0.41379310344827586,0.3157894736842105,0.6,0.43333333333333335,6,13,7,4,30,10,4.682726860046387
10,0.5007450332244238,0.39499999999999996,0.3345238095238095,0.37037037037037035,0.29411764705882354,0.5,0.43333333333333335,5,12,8,5,30,10,4.694839715957642
