epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.712796022494634,0.33499999999999996,0.2856984126984127,0.35294117647058826,0.25,0.6,0.26666666666666666,6,18,2,4,30,10,5.051738023757935
2,0.689345485634274,0.35,0.3644535416274547,0.2727272727272727,0.25,0.3,0.4666666666666667,3,9,11,7,30,10,4.645564079284668
3,0.6151507281594806,0.435,0.39472829801777165,0.38461538461538464,0.3125,0.5,0.4666666666666667,5,11,9,5,30,10,4.6776978969573975
4,0.5662928074598312,0.39249999999999996,0.3098712297986346,0.4,0.3333333333333333,0.5,0.5,5,10,10,5,30,10,4.701896905899048
5,0.4527621211277114,0.4,0.30977579891372997,0.3,0.3,0.3,0.5333333333333333,3,7,13,7,30,10,4.707439661026001
6,0.29547398620181614,0.445,0.34521508185301286,0.125,0.16666666666666666,0.1,0.5333333333333333,1,5,15,9,30,10,4.6826348304748535
7,0.22906069374746746,0.4775,0.3542111592111592,0.3333333333333333,0.375,0.3,0.6,3,5,15,7,30,10,4.689289808273315
8,0.15739594565497506,0.44999999999999996,0.3519849302744039,0.36363636363636365,0.3333333333333333,0.4,0.5333333333333333,4,8,12,6,30,10,4.692128419876099
9,0.159939238594638,0.5075,0.36653391053391055,0.125,0.16666666666666666,0.1,0.5333333333333333,1,5,15,9,30,10,4.685779571533203
10,0.11519023300045067,0.485,0.35616661116661114,0.125,0.16666666666666666,0.1,0.5333333333333333,1,5,15,9,30,10,4.672061920166016
