epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6888668572201448,0.3055555555555555,0.29389209809798045,0.0,0.0,0.0,0.42857142857142855,0,6,12,10,28,10,4.585580348968506
2,0.6527691518559176,0.36666666666666664,0.33756083302886375,0.5263157894736842,0.35714285714285715,1.0,0.35714285714285715,10,18,0,0,28,10,4.180447578430176
3,0.6486682593822479,0.3777777777777778,0.34507063695043233,0.0,0.0,0.0,0.6071428571428571,0,1,17,10,28,10,4.051624774932861
4,0.5271930308902965,0.37777777777777777,0.3227564102564102,0.2857142857142857,0.2727272727272727,0.3,0.4642857142857143,3,8,10,7,28,10,3.801811456680298
5,0.3878687252016628,0.3444444444444445,0.3066573426573427,0.46153846153846156,0.375,0.6,0.5,6,10,8,4,28,10,3.7675280570983887
6,0.3260256463990492,0.4444444444444444,0.3422871210914689,0.2222222222222222,0.25,0.2,0.5,2,6,12,8,28,10,3.759307384490967
7,0.19725117087364197,0.43333333333333335,0.3431996336996337,0.43478260869565216,0.38461538461538464,0.5,0.5357142857142857,5,8,10,5,28,10,3.707702159881592
8,0.1041556583607898,0.4833333333333334,0.3698941798941799,0.3333333333333333,0.375,0.3,0.5714285714285714,3,5,13,7,28,10,3.7401657104492188
9,0.08307822333539233,0.45,0.34938925004142396,0.23529411764705882,0.2857142857142857,0.2,0.5357142857142857,2,5,13,8,28,10,3.768913984298706
10,0.060204911319648516,0.46111111111111114,0.35188925004142396,0.3,0.3,0.3,0.5,3,7,11,7,28,10,3.732013463973999
