epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7027556335224825,0.24444444444444446,0.28741176470588237,0.375,0.2727272727272727,0.6,0.2857142857142857,6,16,2,4,28,10,4.047921657562256
2,0.6711185153792886,0.2777777777777778,0.28234848484848485,0.11764705882352941,0.14285714285714285,0.1,0.4642857142857143,1,6,12,9,28,10,3.660006046295166
3,0.6433867391418008,0.30000000000000004,0.29174286049572096,0.0,0.0,0.0,0.5,0,4,14,10,28,10,3.692577362060547
4,0.6418790431583629,0.29444444444444445,0.29026772247360483,0.1111111111111111,0.125,0.1,0.42857142857142855,1,7,11,9,28,10,3.693281650543213
5,0.6069666042047388,0.3,0.29526772247360483,0.1,0.1,0.1,0.35714285714285715,1,9,9,9,28,10,3.6916496753692627
6,0.5975930270026711,0.3055555555555556,0.2936010558069382,0.1111111111111111,0.125,0.1,0.42857142857142855,1,7,11,9,28,10,3.712015151977539
7,0.5627519330557655,0.28888888888888886,0.2891010558069382,0.2608695652173913,0.23076923076923078,0.3,0.39285714285714285,3,10,8,7,28,10,3.713900566101074
8,0.5579376413541681,0.3194444444444444,0.29435662485662484,0.2608695652173913,0.23076923076923078,0.3,0.39285714285714285,3,10,8,7,28,10,3.7173187732696533
9,0.5360458212740281,0.35,0.3085095645095645,0.11764705882352941,0.14285714285714285,0.1,0.4642857142857143,1,6,12,9,28,10,3.660942316055298
10,0.5178189365302815,0.35,0.3085095645095645,0.11764705882352941,0.14285714285714285,0.1,0.4642857142857143,1,6,12,9,28,10,3.7013144493103027
