epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7219605200430926,0.6027777777777779,0.5994072594072594,0.5405405405405406,0.37037037037037035,1.0,0.39285714285714285,10,17,1,0,28,10,3.9996485710144043
2,0.6939488088383394,0.5305555555555554,0.41685744810744807,0.0,0.0,0.0,0.6071428571428571,0,1,17,10,28,10,3.671354055404663
3,0.6865278973298914,0.6305555555555555,0.4859457209457209,0.14285714285714285,0.25,0.1,0.5714285714285714,1,3,15,9,28,10,3.684986114501953
4,0.7159325831076678,0.6277777777777778,0.48046953046953045,0.5833333333333334,0.5,0.7,0.6428571428571429,7,7,11,3,28,10,3.711041212081909
5,0.6913655996322632,0.65,0.5476342203548086,0.5714285714285714,0.5454545454545454,0.6,0.6785714285714286,6,5,13,4,28,10,3.752044677734375
6,0.6365329377791461,0.6777777777777778,0.5145604395604395,0.6,0.6,0.6,0.7142857142857143,6,4,14,4,28,10,3.662160873413086
7,0.6017732304685256,0.7333333333333334,0.5402472527472527,0.72,0.6,0.9,0.75,9,6,12,1,28,10,3.7133026123046875
8,0.5274457440656775,0.75,0.662127823157235,0.5555555555555556,0.625,0.5,0.7142857142857143,5,3,15,5,28,10,3.7568743228912354
9,0.4499208751846762,0.7333333333333334,0.6206192881192881,0.47058823529411764,0.5714285714285714,0.4,0.6785714285714286,4,3,15,6,28,10,3.759307861328125
10,0.40513528620495515,0.7000000000000001,0.5869623404917522,0.47058823529411764,0.5714285714285714,0.4,0.6785714285714286,4,3,15,6,28,10,3.6852333545684814
