epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.7244450549284617,0.295,0.26746474610924736,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,4.006643772125244
2,0.6861516270372603,0.405,0.3023421203341112,0.0,0.0,0.0,0.6,0,2,18,10,30,10,3.7163937091827393
3,0.6086107856697507,0.39749999999999996,0.2960096765979119,0.5,0.34615384615384615,0.9,0.4,9,17,3,1,30,10,3.7493057250976562
4,0.532564886742168,0.42,0.30512820512820515,0.0,0.0,0.0,0.5,0,5,15,10,30,10,3.696916103363037
5,0.29814642171065014,0.5,0.3393440617353661,0.1111111111111111,0.125,0.1,0.4666666666666667,1,7,13,9,30,10,3.6972153186798096
6,0.182633546491464,0.48500000000000004,0.337251221001221,0.0,0.0,0.0,0.6,0,2,18,10,30,10,3.7136733531951904
7,0.09097014802197616,0.54,0.37358511333156363,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,3.754316806793213
8,0.047838172771864466,0.5050000000000001,0.35902075049133875,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,3.6875476837158203
9,0.026666047672430675,0.475,0.3457881592092118,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,3.698214054107666
10,0.020632519024527736,0.5025,0.3581506458382726,0.0,0.0,0.0,0.6333333333333333,0,1,19,10,30,10,3.7367208003997803
