epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6967369483576881,0.54,0.3691437694012065,0.43478260869565216,0.38461538461538464,0.5,0.5666666666666667,5,8,12,5,30,10,4.056703567504883
2,0.6511875059869554,0.585,0.40188117982235627,0.5,0.5,0.5,0.6666666666666666,5,5,15,5,30,10,3.6735188961029053
3,0.584384658270412,0.475,0.36868347338935575,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,3.6619412899017334
4,0.4574655145406723,0.575,0.4155814215024742,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,3.7181396484375
5,0.352887824177742,0.6375000000000001,0.5754160654160654,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,3.7179505825042725
6,0.23148431380589804,0.6375,0.5070562589584329,0.4,0.6,0.3,0.7,3,2,18,7,30,10,3.7674388885498047
7,0.13658996009164387,0.735,0.6926657883179622,0.4444444444444444,0.5,0.4,0.6666666666666666,4,4,16,6,30,10,3.793147563934326
8,0.08173161745071411,0.77,0.720919479071653,0.5,0.5,0.5,0.6666666666666666,5,5,15,5,30,10,3.7669084072113037
9,0.06103810481727123,0.7875,0.7280735492577598,0.5,0.6666666666666666,0.4,0.7333333333333333,4,2,18,6,30,10,3.711308240890503
10,0.050872636751996145,0.78,0.7257051282051281,0.47058823529411764,0.5714285714285714,0.4,0.7,4,3,17,6,30,10,3.7338454723358154
