epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6833924816714393,0.5175000000000001,0.383976115417763,0.43478260869565216,0.38461538461538464,0.5,0.5666666666666667,5,8,12,5,30,10,4.36220908164978
2,0.7044122417767843,0.5175,0.47353236216116534,0.3157894736842105,0.3333333333333333,0.3,0.5666666666666667,3,6,14,7,30,10,3.8327202796936035
3,0.663703504535887,0.6,0.5886630036630036,0.5454545454545454,0.5,0.6,0.6666666666666666,6,6,14,4,30,10,3.9584310054779053
4,0.6632447342077891,0.6275,0.6087750767750767,0.5714285714285714,0.5454545454545454,0.6,0.7,6,5,15,4,30,10,3.8596885204315186
5,0.6661565336916182,0.6325,0.5745380170877128,0.5714285714285714,0.5454545454545454,0.6,0.7,6,5,15,4,30,10,3.794621706008911
6,0.6421540942456987,0.6499999999999999,0.5120193886573197,0.6,0.6,0.6,0.7333333333333333,6,4,16,4,30,10,3.846001386642456
7,0.6408893002404107,0.635,0.5010431235431235,0.5714285714285714,0.5454545454545454,0.6,0.7,6,5,15,4,30,10,4.079707860946655
8,0.6342964304818047,0.645,0.4946794871794871,0.5714285714285714,0.5454545454545454,0.6,0.7,6,5,15,4,30,10,4.066345691680908
9,0.6258224811818864,0.65,0.5120193886573197,0.6,0.6,0.6,0.7333333333333333,6,4,16,4,30,10,3.9671239852905273
10,0.6015253000789218,0.645,0.5105193886573196,0.6,0.6,0.6,0.7333333333333333,6,4,16,4,30,10,4.00512433052063
