epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6734028094344668,0.575,0.40287007306063566,0.5333333333333333,0.4,0.8,0.5333333333333333,8,12,8,2,30,10,2.042424440383911
2,0.691114087899526,0.575,0.4045002411381722,0.47619047619047616,0.45454545454545453,0.5,0.6333333333333333,5,6,14,5,30,10,1.7055647373199463
3,0.7098390625582801,0.525,0.38283549783549786,0.42857142857142855,0.3333333333333333,0.6,0.4666666666666667,6,12,8,4,30,10,1.6839330196380615
4,0.6976093451182047,0.64,0.4582222222222222,0.4444444444444444,0.5,0.4,0.6666666666666666,4,4,16,6,30,10,1.7119572162628174
5,0.6800676418675317,0.56,0.4192222222222222,0.42857142857142855,0.3333333333333333,0.6,0.4666666666666667,6,12,8,4,30,10,1.6895074844360352
6,0.6843463679154714,0.645,0.46246376811594203,0.5333333333333333,0.4,0.8,0.5333333333333333,8,12,8,2,30,10,1.7168333530426025
7,0.6877428227000766,0.625,0.4417142857142857,0.5833333333333334,0.5,0.7,0.6666666666666666,7,7,13,3,30,10,1.7163195610046387
8,0.6678712997171614,0.645,0.4602716727716728,0.35294117647058826,0.42857142857142855,0.3,0.6333333333333333,3,4,16,7,30,10,1.7028889656066895
9,0.632052857014868,0.65,0.46801932367149757,0.5263157894736842,0.5555555555555556,0.5,0.7,5,4,16,5,30,10,1.6913068294525146
10,0.6599990146027671,0.65,0.46869103119103117,0.35294117647058826,0.42857142857142855,0.3,0.6333333333333333,3,4,16,7,30,10,1.7043819427490234
11,0.6572129113806618,0.655,0.4851556776556777,0.64,0.5333333333333333,0.8,0.7,8,7,13,2,30,10,1.6911933422088623
12,0.6519767277770572,0.655,0.4763888888888889,0.15384615384615385,0.3333333333333333,0.1,0.6333333333333333,1,2,18,9,30,10,1.6866445541381836
13,0.6535813146167331,0.675,0.502371794871795,0.5,0.5,0.5,0.6666666666666666,5,5,15,5,30,10,1.7024765014648438
14,0.6607954435878329,0.6649999999999999,0.4963888888888889,0.35294117647058826,0.42857142857142855,0.3,0.6333333333333333,3,4,16,7,30,10,1.688683032989502
15,0.6282141572899289,0.655,0.4946153846153846,0.5454545454545454,0.5,0.6,0.6666666666666666,6,6,14,4,30,10,1.7018566131591797
16,0.6365313513411416,0.6450000000000001,0.48377777777777775,0.56,0.4666666666666667,0.7,0.6333333333333333,7,8,12,3,30,10,1.687758445739746
17,0.668279144499037,0.655,0.4901984126984127,0.4444444444444444,0.5,0.4,0.6666666666666666,4,4,16,6,30,10,1.7149522304534912
18,0.639900298582183,0.665,0.4955952380952381,0.5454545454545454,0.5,0.6,0.6666666666666666,6,6,14,4,30,10,1.68764066696167
