epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6727292475511701,0.27999999999999997,0.26411523725316827,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,118.13554310798645
2,0.6154418214619588,0.4025,0.3949065453602658,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,117.89020776748657
3,0.5882396254179288,0.41000000000000003,0.38976363008971704,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,117.41367959976196
4,0.47697323453512125,0.31000000000000005,0.3570047833226244,0.15384615384615385,0.3333333333333333,0.1,0.6333333333333333,1,2,18,9,30,10,116.31609439849854
5,0.369377382287233,0.495,0.4419047619047619,0.26666666666666666,0.4,0.2,0.6333333333333333,2,3,17,8,30,10,116.16745519638062
6,0.2178191325406162,0.5275,0.4510211357270181,0.26666666666666666,0.4,0.2,0.6333333333333333,2,3,17,8,30,10,116.40071272850037
7,0.1759321295368157,0.555,0.46600633665851054,0.2,0.2,0.2,0.4666666666666667,2,8,12,8,30,10,116.05692625045776
8,0.10254758589720125,0.53,0.4596358543417367,0.23529411764705882,0.2857142857142857,0.2,0.5666666666666667,2,5,15,8,30,10,116.19203472137451
9,0.08227415197100088,0.55,0.49356060606060603,0.25,0.3333333333333333,0.2,0.6,2,4,16,8,30,10,116.01802062988281
10,0.043008352293157213,0.535,0.4549358974358974,0.25,0.3333333333333333,0.2,0.6,2,4,16,8,30,10,115.94143605232239
