epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6780575513839722,0.47,0.32811982461982464,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,120.04653763771057
2,0.6315022212245481,0.385,0.31001913029499234,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,119.43366932868958
3,0.5479077660351348,0.415,0.31511904761904763,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,119.4339747428894
4,0.49866864066436994,0.5425,0.4319635627530365,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,119.70630240440369
5,0.3487619076513772,0.5475000000000001,0.4698095238095238,0.375,0.5,0.3,0.6666666666666666,3,3,17,7,30,10,119.40743279457092
6,0.19917703653089433,0.445,0.33816904834296135,0.14285714285714285,0.25,0.1,0.6,1,3,17,9,30,10,119.73468279838562
7,0.07013202922103806,0.5075000000000001,0.4042068741372147,0.16666666666666666,0.5,0.1,0.6666666666666666,1,1,19,9,30,10,119.48262739181519
8,0.008778633824516114,0.555,0.43790830546265325,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,119.63721919059753
9,0.004396123011770705,0.585,0.45748599439775905,0.18181818181818182,1.0,0.1,0.7,1,0,20,9,30,10,119.69845724105835
10,0.003299191718076845,0.5650000000000001,0.4439021164021164,0.18181818181818182,1.0,0.1,0.7,1,0,20,9,30,10,119.48568844795227
