epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6369653662497347,0.47777777777777775,0.4931550494593973,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,96.68947649002075
2,0.656802949636723,0.4222222222222223,0.35238095238095235,0.4444444444444444,0.35294117647058826,0.6,0.4642857142857143,6,11,7,4,28,10,96.46415519714355
3,0.6381389165692257,0.40555555555555556,0.32186194653299915,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,96.66162180900574
4,0.5791545458363764,0.49722222222222223,0.38743651085756353,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,96.38289189338684
5,0.4946694125167348,0.4611111111111111,0.3740307499518026,0.26666666666666666,0.4,0.2,0.6071428571428571,2,3,15,8,28,10,96.60432839393616
6,0.49434333907574357,0.5333333333333333,0.5303585303585303,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,96.53802132606506
7,0.5881344234345086,0.538888888888889,0.5098942217203086,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,96.38889384269714
8,0.40630232095436164,0.3888888888888889,0.33540858651152766,0.3157894736842105,0.3333333333333333,0.3,0.5357142857142857,3,6,12,7,28,10,96.29494524002075
9,0.45846339110181417,0.47777777777777775,0.4726873126873127,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,96.28146171569824
10,0.35586645357475255,0.4277777777777777,0.40376811594202894,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,96.0247278213501
11,0.35003268034321966,0.47222222222222215,0.449015984015984,0.0,0.0,0.0,0.6071428571428571,0,1,17,10,28,10,96.29862189292908
12,0.41110013503922266,0.4944444444444444,0.4425952380952381,0.5,0.5,0.5,0.6428571428571429,5,5,13,5,28,10,96.30325865745544
