epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6582922095602209,0.7222222222222222,0.6061147186147187,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,109.82792615890503
2,0.6762353574687784,0.7027777777777777,0.5843711843711844,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,108.87425374984741
3,0.6474930881099268,0.8388888888888889,0.729668893198305,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,109.23398780822754
4,0.6284054665628708,0.8472222222222222,0.785548245614035,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,109.08825969696045
5,0.6180664764886553,0.9111111111111111,0.861111111111111,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,109.26876091957092
6,0.6339128841504906,0.875,0.8089835602993497,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,109.11700105667114
7,0.6451386155729945,0.8583333333333334,0.7715079365079365,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,109.12716317176819
8,0.6413314520861163,0.9166666666666666,0.8230952380952381,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,109.13198113441467
9,0.6189134149163058,0.9027777777777778,0.8228711484593838,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,109.09930157661438
10,0.5988189521612544,0.9055555555555556,0.8265476190476191,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,109.28634524345398
