epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6923732178674328,0.47500000000000003,0.33658232572025676,0.125,0.16666666666666666,0.1,0.5333333333333333,1,5,15,9,30,10,114.99585485458374
2,0.6397983118784514,0.43000000000000005,0.31310781312733127,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,114.53179216384888
3,0.631727240175652,0.43,0.3188370240160522,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,114.3790431022644
4,0.5977753187469441,0.48,0.3364807692307692,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,114.38705110549927
5,0.5642751710449191,0.5,0.35718355718355715,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,114.62055134773254
6,0.5240344139847825,0.5025,0.3623626373626373,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,114.47277164459229
7,0.5192169743261749,0.525,0.43223443223443214,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,114.5873556137085
8,0.47459881385560515,0.515,0.3866017316017316,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,114.40096831321716
9,0.4598860884313103,0.48,0.3453812718721441,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,114.42871594429016
10,0.46246686829723044,0.495,0.3624681066060376,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,114.61208915710449
