epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6814158061425463,0.51,0.38370370370370377,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,118.00408124923706
2,0.6523472628683495,0.6074999999999999,0.535173880364443,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,116.94732975959778
3,0.5763229276422116,0.525,0.5486332407345584,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,116.72250008583069
4,0.49748657893041054,0.5825,0.6214492753623189,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,116.66643810272217
5,0.40863519920398006,0.65,0.5653793574846206,0.3333333333333333,1.0,0.2,0.7333333333333333,2,0,20,8,30,10,116.82010054588318
6,0.289721151371654,0.7150000000000001,0.6529304029304028,0.46153846153846156,1.0,0.3,0.7666666666666667,3,0,20,7,30,10,116.72276616096497
7,0.19393591602875604,0.72,0.6832847269689375,0.3333333333333333,1.0,0.2,0.7333333333333333,2,0,20,8,30,10,116.9113359451294
8,0.13673543704258237,0.705,0.6000240500240499,0.3076923076923077,0.6666666666666666,0.2,0.7,2,1,19,8,30,10,116.65394520759583
9,0.09233192081074063,0.67,0.5650085589791471,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,116.62310886383057
10,0.11353746593909726,0.6675,0.5650085589791471,0.3333333333333333,1.0,0.2,0.7333333333333333,2,0,20,8,30,10,116.77994871139526
