epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6940485702620612,0.2925,0.3079250749250749,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,9.190383672714233
2,0.7199570569727156,0.305,0.2765284665359628,0.27586206896551724,0.21052631578947367,0.4,0.3,4,15,5,6,30,10,8.892016172409058
3,0.7092382709185282,0.325,0.281372896782104,0.5,0.3333333333333333,1.0,0.3333333333333333,10,20,0,0,30,10,8.836363554000854
4,0.6859840982490115,0.375,0.2981547619047619,0.13333333333333333,0.2,0.1,0.5666666666666667,1,4,16,9,30,10,8.835222244262695
5,0.6703997519281175,0.42500000000000004,0.3261240952030426,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,8.838679552078247
6,0.6596104800701141,0.47000000000000003,0.3408093424907773,0.2,0.2,0.2,0.4666666666666667,2,8,12,8,30,10,8.855417013168335
7,0.5901050600740645,0.485,0.36467380658557125,0.2,0.2,0.2,0.4666666666666667,2,8,12,8,30,10,8.799899578094482
8,0.4895908302730984,0.45499999999999996,0.4001665259405197,0.34782608695652173,0.3076923076923077,0.4,0.5,4,9,11,6,30,10,8.823752880096436
9,0.3884711348348194,0.45499999999999996,0.40212037713636173,0.36363636363636365,0.3333333333333333,0.4,0.5333333333333333,4,8,12,6,30,10,8.80241870880127
10,0.30600803511010277,0.4724999999999999,0.40918113247297916,0.36363636363636365,0.3333333333333333,0.4,0.5333333333333333,4,8,12,6,30,10,8.791281700134277
