epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6902766648460837,0.37222222222222223,0.4027297633716398,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,7.63184118270874
2,0.6930766666636747,0.4222222222222222,0.34144855144855146,0.4375,0.3181818181818182,0.7,0.35714285714285715,7,15,3,3,28,10,7.36276388168335
3,0.7010973797124975,0.32777777777777783,0.30894096644096647,0.0,0.0,0.0,0.5357142857142857,0,3,15,10,28,10,7.2976274490356445
4,0.6958011283594019,0.46111111111111114,0.377132012724118,0.0,0.0,0.0,0.6428571428571429,0,0,18,10,28,10,7.318877935409546
5,0.7044563959626591,0.5055555555555555,0.37778985507246376,0.0,0.0,0.0,0.5714285714285714,0,2,16,10,28,10,7.350338697433472
6,0.6655578718465918,0.5388888888888889,0.3952936098988731,0.3333333333333333,0.375,0.3,0.5714285714285714,3,5,13,7,28,10,7.321052074432373
7,0.6051384754040662,0.5388888888888889,0.39256911090435115,0.14285714285714285,0.25,0.1,0.5714285714285714,1,3,15,9,28,10,7.3048553466796875
8,0.548091842847712,0.5222222222222221,0.38022866626127494,0.43478260869565216,0.38461538461538464,0.5,0.5357142857142857,5,8,10,5,28,10,7.299490451812744
9,0.44309088061837587,0.55,0.3973515433841521,0.2222222222222222,0.25,0.2,0.5,2,6,12,8,28,10,7.30260705947876
10,0.4069179945132312,0.5388888888888889,0.39070652173913045,0.4,0.4,0.4,0.5714285714285714,4,6,12,6,28,10,7.281557321548462
