epoch,train_loss,val_auroc,val_ap,val_f1,val_precision,val_recall,val_accuracy,val_tp,val_fp,val_tn,val_fn,val_n,val_n_pos,elapsed_sec
1,0.6982450717025332,0.6375000000000001,0.4303293928293928,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,7.583857536315918
2,0.6963393290837606,0.6825000000000001,0.5545454545454546,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,7.185994863510132
3,0.6838987254434161,0.685,0.5829860003544214,0.5384615384615384,0.4375,0.7,0.6,7,9,11,3,30,10,7.21264386177063
4,0.6234449007444911,0.655,0.5616402116402116,0.3076923076923077,0.6666666666666666,0.2,0.7,2,1,19,8,30,10,7.1905481815338135
5,0.6629966315295961,0.6849999999999999,0.5213852813852814,0.5,0.34615384615384615,0.9,0.4,9,17,3,1,30,10,7.176994562149048
6,0.61375316646364,0.73,0.6292154403567447,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,7.167436361312866
7,0.5253267503447003,0.76,0.6559880911428898,0.5384615384615384,0.4375,0.7,0.6,7,9,11,3,30,10,7.158324956893921
8,0.4373270244234138,0.745,0.5556043956043957,0.0,0.0,0.0,0.6666666666666666,0,0,20,10,30,10,7.184097528457642
9,0.366927786419789,0.7500000000000001,0.5760588972431079,0.16666666666666666,0.5,0.1,0.6666666666666666,1,1,19,9,30,10,7.194504976272583
10,0.30351030454039574,0.7225,0.5402255639097744,0.16666666666666666,0.5,0.1,0.6666666666666666,1,1,19,9,30,10,7.186983346939087
