,,auroc,auroc,auroc,ap,ap,ap,f1,f1,f1,precision,precision,precision,recall,recall,recall,accuracy,accuracy,accuracy
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,condition,,,,,,,,,,,,,,,,,,
0002,0.6563281249999999,,,0,,,0,,,0,,,0,,,0,,,0
bert-large,full,0.5029,0.0833,29,0.4426,0.0753,29,0.244,0.241,29,0.2521,0.2462,29,0.3574,0.4305,29,0.5434,0.1049,29
bert-large,qa,0.4826,0.12,30,0.4365,0.0867,30,0.182,0.2276,30,0.1928,0.2374,30,0.2667,0.4003,30,0.5436,0.0957,30
bert-large,scripted,0.3884,0.0785,30,0.3638,0.0556,30,0.1796,0.1826,30,0.2172,0.2326,30,0.2061,0.27,30,0.5218,0.1019,30
finbert,full,0.5253,0.1276,14,0.4671,0.1187,14,0.432,0.1474,14,0.4167,0.1352,14,0.5065,0.2685,14,0.5443,0.0779,14
finbert,qa,0.469,0.1214,13,0.4508,0.1238,13,0.3192,0.1615,13,0.4297,0.2778,13,0.3077,0.2216,13,0.5444,0.0991,13
finbert,scripted,0.3315,0.0788,14,0.3419,0.0538,14,0.2077,0.1226,14,0.2547,0.2438,14,0.2273,0.1502,14,0.4286,0.1121,14
longformer,full,0.5254,0.098,42,0.478,0.1028,42,0.0289,0.0758,42,0.0883,0.2432,42,0.0195,0.0551,42,0.6174,0.0167,42
longformer,qa,0.4089,0.0691,42,0.4097,0.0765,42,0.0696,0.1405,42,0.1043,0.2158,42,0.0619,0.1378,42,0.6007,0.0379,42
longformer,scripted,0.4846,0.0817,42,0.4246,0.0604,42,0.0076,0.0346,42,0.0357,0.1708,42,0.0043,0.0196,42,0.6158,0.0195,42
roberta,full,0.6028,0.1184,30,0.5132,0.0969,30,0.396,0.2527,30,0.316,0.2017,30,0.6,0.4268,30,0.5287,0.1057,30
roberta,qa,0.4612,0.1103,30,0.4262,0.0967,30,0.2299,0.264,30,0.1898,0.2098,30,0.3667,0.4641,30,0.5282,0.1035,30
roberta,scripted,0.4251,0.0591,30,0.3934,0.0487,30,0.2052,0.1873,30,0.2171,0.1918,30,0.2576,0.3021,30,0.5103,0.1203,30
