model,condition,n_runs,n_seeds,auroc_above_half,auroc_below_half,auroc_equal_half,auroc_mean,auroc_std,ap_mean,ap_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,best_val_auroc_mean,best_val_auroc_std,tp_mean,fp_mean,tn_mean,fn_mean,n_mean,n_pos_mean,delta_auroc_mean
bert,full,30,30,21,9,0,0.5468855218855218,0.13330859856101265,0.4609178391163478,0.09196632520976596,0.3675532703855539,0.2210328621353443,0.3527524559806507,0.20090656412206276,0.4818181818181818,0.3805996378801706,0.5379310344827585,0.10964402907805214,0.5664166666666667,0.09360519468098108,5.3,7.7,10.3,5.7,29.0,11.0,0.04688552188552175
bert,qa,30,30,17,13,0,0.5069791666666666,0.15083880798710678,0.45123576230495394,0.11103685054512641,0.31348352581096567,0.24066995747077696,0.3244864511706617,0.2396593806930823,0.4133333333333333,0.38839486957559527,0.5384615384615384,0.10100494835363277,0.639074074074074,0.09101835449108178,4.133333333333334,6.133333333333334,9.866666666666667,5.866666666666666,26.0,10.0,0.006979166666666647
bert,scripted,30,30,4,26,0,0.40395622895622896,0.08134369289800564,0.37995932334791477,0.0615807698289889,0.21610364274450958,0.17535244951786577,0.23761829251913152,0.1703138558412863,0.24545454545454545,0.2744459949803049,0.5091954022988506,0.08333299164854029,0.7499166666666665,0.09775824185496951,2.7,5.933333333333334,12.066666666666666,8.3,29.0,11.0,-0.09604377104377104
bert-large,full,30,30,15,14,1,0.5027777777777778,0.08186071519375786,0.44172121993406155,0.07413218520731464,0.23583650554238786,0.240928953804252,0.2436610266295424,0.24626735830697855,0.3454545454545455,0.4280024449742797,0.5459770114942529,0.10407394358822852,0.5445,0.0773772665536225,3.8,5.966666666666667,12.033333333333333,7.2,29.0,11.0,0.002777777777777768
bert-large,qa,30,30,13,17,0,0.4826041666666666,0.12000158082351949,0.43647036483045026,0.08667024823677795,0.18198134472644276,0.22763240494728887,0.19284914431973252,0.23740196439419092,0.26666666666666666,0.40028725317885316,0.5435897435897435,0.09567964412811587,0.6214814814814815,0.09323639525893206,2.6666666666666665,4.533333333333333,11.466666666666667,7.333333333333333,26.0,10.0,-0.017395833333333388
bert-large,scripted,30,30,3,27,0,0.3883838383838382,0.07853774743490236,0.36375949102932165,0.055558453318338474,0.1795742802317824,0.18263808976537815,0.21716260694455417,0.23259409464567934,0.20606060606060603,0.27003196177133443,0.5218390804597701,0.10194441308460535,0.7140833333333333,0.07448236117656838,2.2666666666666666,5.133333333333334,12.866666666666667,8.733333333333333,29.0,11.0,-0.11161616161616178
distilbert,full,30,30,18,12,0,0.5496632996632995,0.1124025149798214,0.5070013896285432,0.09985347893661882,0.3242382367260693,0.24434932444499774,0.33465758432712445,0.25261532850452983,0.44242424242424244,0.4147008819698869,0.5494252873563218,0.10635370327333944,0.50775,0.10877719636153463,4.866666666666666,6.933333333333334,11.066666666666666,6.133333333333334,29.0,11.0,0.04966329966329952
distilbert,qa,30,30,16,14,0,0.5054166666666667,0.09705362193967414,0.45878607731377613,0.08275336909427698,0.28009501854395585,0.2411500212657822,0.2762276075056395,0.20928305263621513,0.37,0.38965059502956817,0.5423076923076923,0.1001681915512771,0.6062037037037037,0.09426872128186865,3.7,5.6,10.4,6.3,26.0,10.0,0.005416666666666736
distilbert,scripted,30,30,0,30,0,0.3967171717171717,0.05477969846273368,0.37057033383857363,0.04427288285271909,0.2953155533886453,0.10140627599285192,0.3077785740040642,0.09657858352662212,0.30606060606060603,0.1627690938244611,0.4839080459770116,0.07656325680037533,0.7221666666666667,0.052435236463551006,3.3666666666666667,7.333333333333333,10.666666666666666,7.633333333333334,29.0,11.0,-0.10328282828282831
finbert,full,30,30,18,12,0,0.5329124579124579,0.12387232977155951,0.4628797678033784,0.10674727772696624,0.3579743130243386,0.20082363489912253,0.36750120640787914,0.19194909706605806,0.41515151515151516,0.3146316345359216,0.5482758620689655,0.09026137326060715,0.5381666666666668,0.12583845235838698,4.566666666666666,6.666666666666667,11.333333333333334,6.433333333333334,29.0,11.0,0.03291245791245789
finbert,qa,30,30,8,22,0,0.43624999999999997,0.11539206499492548,0.41984680983965206,0.11152856626629164,0.2417422904614056,0.18156463449527518,0.3043290043290042,0.2593571796475068,0.2433333333333333,0.2269487764374084,0.514102564102564,0.11086798083756329,0.5974074074074075,0.13469122828164484,2.433333333333333,5.066666666666666,10.933333333333334,7.566666666666666,26.0,10.0,-0.06375000000000003
finbert,scripted,30,30,2,28,0,0.31843434343434335,0.08877321306246397,0.33886707782450287,0.052924905420617945,0.20902771305441878,0.13032907549643932,0.22756432837315188,0.18981576355291152,0.23030303030303026,0.16320621508551145,0.4298850574712643,0.10194441308460532,0.6635000000000001,0.07585603424273168,2.533333333333333,8.066666666666666,9.933333333333334,8.466666666666667,29.0,11.0,-0.18156565656565665
longformer,full,30,30,20,10,0,0.5436026936026935,0.09169647532824582,0.4932320165961676,0.10847376847409435,0.02512820512820512,0.06731103945195237,0.1,0.27543069720987384,0.015151515151515148,0.041921185216128545,0.6206896551724138,0.012806575046693235,0.6982499999999999,0.09562892993952885,0.16666666666666666,0.16666666666666666,17.833333333333332,10.833333333333334,29.0,11.0,0.04360269360269353
longformer,qa,30,30,1,29,0,0.39458333333333334,0.051851062542455265,0.3939988233295946,0.05627525484601802,0.05425985778926955,0.11433923289101983,0.07742063492063493,0.16051894207856865,0.043333333333333335,0.09352607356658148,0.6025641025641026,0.02735226931610616,0.7528703703703705,0.08298613281980297,0.43333333333333335,0.7666666666666667,15.233333333333333,9.566666666666666,26.0,10.0,-0.10541666666666666
longformer,scripted,30,30,14,16,0,0.4755892255892256,0.07596723957431599,0.4232596713064542,0.06083719573818468,0.010683760683760679,0.04069318953465447,0.05,0.20128894996822436,0.00606060606060606,0.023064375609314767,0.6149425287356322,0.022335146633296707,0.6765833333333333,0.06508112753263837,0.06666666666666667,0.23333333333333334,17.766666666666666,10.933333333333334,29.0,11.0,-0.024410774410774383
roberta,full,30,30,24,6,0,0.6027777777777777,0.11842469765748133,0.5131763937465074,0.09691671174483464,0.39600913729530157,0.2526848319041318,0.31604086252619334,0.20169748499528428,0.6,0.42680224881041423,0.5287356321839081,0.10573506281462298,0.56875,0.10687317249899528,6.6,9.266666666666667,8.733333333333333,4.4,29.0,11.0,0.10277777777777775
roberta,qa,30,30,9,21,0,0.46125,0.11027981651705122,0.42624452234971827,0.09669872399127576,0.22993746993746994,0.26400591761512493,0.18983463396506875,0.20976788848379874,0.36666666666666664,0.46411453203985614,0.5282051282051282,0.10346641116060198,0.5941666666666667,0.06799189688278952,3.6666666666666665,5.933333333333334,10.066666666666666,6.333333333333333,26.0,10.0,-0.03875000000000001
roberta,scripted,30,30,3,27,0,0.425084175084175,0.059074955101320326,0.3934311686028661,0.04871362658707748,0.20523801262239313,0.18726848217352407,0.21710254536488474,0.19181413134984018,0.25757575757575757,0.30206219442028104,0.5103448275862069,0.12027276392610617,0.7071666666666666,0.04461392494334672,2.8333333333333335,6.033333333333333,11.966666666666667,8.166666666666666,29.0,11.0,-0.07491582491582499
